study,binge_location,binge_date,subject_id,treatment,sex,early_death,weight_day1,weight_day2,weight_day3,weight_day4,mean_intox,dose_day1,dose_day2,dose_day3,dose_day4,mean_withdrawal,peak_withdrawal,mean_bec,beh_1_1,beh_1_2,beh_1_3,beh_2_1,beh_2_2,beh_2_3,beh_3_1,beh_3_2,beh_3_3,beh_4_1,beh_4_2,beh_4_3,with_10,with_11,with_12,with_13,with_14,with_15,with_16,with_17,with_18,with_19,with_20,with_21,with_22,with_23,with_24,with_25,with_26,
gub3,kentucky ,6/1/13,29,ethanol,male,no,322.2,297.2,280.6,268.8,2,14,7,6,9,0.288888889,3,434.925,0,0,1,2,3,3,3,3,3,2,1,3,3,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gub3,kentucky ,6/1/13,30,ethanol,male,no,336,321.8,314.4,303.6,1.25,14,14,7,10,0.944444444,3,415.95,0,0,1,0,0,1,2,2,4,3,1,1,0,0,0,3,2.6,0,3,3,0,3,2.4,0,0,0,0,0,0,0
gub3,kentucky ,6/1/13,31,ethanol,male,no,345,336.1,322,305.6,1.833333333,15,9,9,5,0.911111111,3.8,313.45,0,0,0,1,2,3,1,2,3,4,3,3,0,3,0,1.6,0,0,3.8,3.6,0,3,0,0,0,0,1.4,0,0,0
gub3,kentucky ,6/1/13,32,ethanol,male,no,320,311.1,287.1,275.5,2,15,6,8,7,1.744444444,3.8,455.425,0,0,0,2,3,4,2,1,4,3,1,4,3.8,3.8,2.4,2.2,2.4,0,3,3,0,0,0,3,2.6,3.8,1.4,0,0,0
gub3,kentucky ,6/1/13,33,ethanol,male,no,303,295.3,277.2,267.2,1.833333333,14,9,8,7,0.888888889,3.8,319.9666667,0,0,1,1,3,2,2,2,3,3,3,2,2.2,1.6,0,3,2.4,0,3,0,3.8,0,0,0,0,0,0,0,0,0
gub3,kentucky ,6/1/13,34,ethanol,male,no,340,326.3,322.4,306.3,1.5,15,15,8,4,1.211111111,3.8,205.575,0,0,0,0,0,0,1,2,4,4,4,3,0,2.6,0,2.6,0,0,2.4,3,2.4,2.6,0,0,0,2.4,0,0,0,3.8
gub3,kentucky ,6/1/13,35,ethanol,male,no,325.4,308.6,309,295.4,1.333333333,15,11,10,8,0.366666667,3.6,271,0,0,0,0,2,2,1,1,3,3,1,3,0,0,0,0,0,0,0,0,0,0,3,3.6,0,0,0,0,0,0
gub3,kentucky ,6/1/13,36,ethanol,male,no,324.1,308.1,294,277.3,1.5,15,12,6,9,0,0,356.55,0,0,0,1,1,1,2,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gub3,kentucky ,6/1/13,37,ethanol,male,no,313,303.9,282.9,272.3,2,14,7,7,8,0.733333333,3,420.15,0,0,1,3,2,3,3,3,2,3,2,2,0,0,0,0,0,2.2,3,0,3,3,0,0,0,0,2,0,0,0
gub3,kentucky ,6/1/13,38,ethanol,male,no,338,341.1,331.4,311.7,1.166666667,15,15,10,6,0.144444444,2.6,240.4333333,0,0,0,0,0,0,1,2,2,3,3,3,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0
gub3,kentucky ,6/1/13,39,ethanol,male,yes,310.6,291.6,276.2,,,,,,,,,388.8,0,0,2,2,3,3,3,3,2,2,0,2,,,,,,,,,,,,,,,,,,
